instance_id,bucket,batch,request_count,selected_terminal_cost_cny,nonempty_patch,modified_file_count,reproduced_before_edit,target_test_executed,related_local_tests_executed,evaluator_final_failure_type,regression_observed,request_ceiling_reached,primary_attribution,secondary_attribution,recommended_agent_capability_fix,attribution_confidence,evidence_locations
aws-cloudformation__cfn-lint-3749,one_file,A,29,6.152004,yes,1,yes,yes,yes,"FAIL_TO_PASS: 0 passed / 3 failed",no,no,root_cause_localization_failure,insufficient_reasoning_or_implementation,"Trace the intrinsic resolution path with the exact AccountId fixture and require the named transform tests to pass before finalizing.",high,"Artifact:goal4-recovery-29791403711-infra-retry/aws-cloudformation__cfn-lint-3749.prediction.json; Artifact:goal4-recovery-29791403711-infra-retry/artifacts/a6fd88bab87fd3cc623338efa0bf03b8be83426b7f93dfc5503be335c534d8f5-stdout.txt; Artifact:recovery/evaluator-reports/goal4-recovery-29791403711-infra-retry/a6fd88bab87fd3cc623338efa0bf03b8be83426b7f93dfc5503be335c534d8f5.json"
aws-cloudformation__cfn-lint-3764,one_file,A,15,1.468248,yes,1,no,yes,yes,"FAIL_TO_PASS: 1 passed / 1 failed; PASS_TO_PASS: 4 failed",yes,no,regression_introduced,reproduction_missing_or_incorrect,"Reproduce both direct-empty and FindInMap-empty inputs before editing and run the full transform plus integration regression set.",high,"Artifact:goal4-recovery-29791403711-batch-a-remaining/aws-cloudformation__cfn-lint-3764.prediction.json; Artifact:goal4-recovery-29791403711-batch-a-remaining/artifacts/8ddf17a658421074c44430250394e16799b5f147e8792197aeb76b29891a661e-stdout.txt; Artifact:recovery/evaluator-reports/goal4-recovery-29791403711-batch-a-remaining/8ddf17a658421074c44430250394e16799b5f147e8792197aeb76b29891a661e.json"
beetbox__beets-5457,two_to_four_files,A,38,13.291632,yes,1,partial_http_403,yes,yes,"FAIL_TO_PASS: 0 passed / 2 failed",no,no,root_cause_localization_failure,incomplete_patch,"Use preserved response fixtures to separate anti-bot/network behavior from parser and URL-contract changes; verify both good-lyrics and no-lyrics cases.",high,"Artifact:goal4-recovery-29791403711-batch-a-remaining/beetbox__beets-5457.prediction.json; Artifact:goal4-recovery-29791403711-batch-a-remaining/artifacts/448c5b0b6d4f09f7497f2698a8663171b916ff3b97110849fa479c9319e7dcf9-stdout.txt; Artifact:recovery/evaluator-reports/goal4-recovery-29791403711-batch-a-remaining/448c5b0b6d4f09f7497f2698a8663171b916ff3b97110849fa479c9319e7dcf9.json"
deepset-ai__haystack-8489,five_plus_files,A,24,5.881188,yes,6,no,yes,yes,"FAIL_TO_PASS: 4 passed / 0 failed; PASS_TO_PASS: 5 failed",yes,no,regression_introduced,reproduction_missing_or_incorrect,"Add a concurrent-span reproduction first and enforce compatibility tests for every Tracer implementation, especially Datadog.",high,"Artifact:goal4-recovery-29791403711-batch-a-remaining/deepset-ai__haystack-8489.prediction.json; Artifact:goal4-recovery-29791403711-batch-a-remaining/artifacts/0be4748c634ae81653124e4ca5c17dc56b5d057e168c2e854714efe3cf045180-stdout.txt; Artifact:recovery/evaluator-reports/goal4-recovery-29791403711-batch-a-remaining/0be4748c634ae81653124e4ca5c17dc56b5d057e168c2e854714efe3cf045180.json"
bridgecrewio__checkov-6893,one_file,B,23,4.013244,yes,2,no,yes,no,"FAIL_TO_PASS: 0 passed / 1 failed; PASS_TO_PASS: 2 failed",yes,no,incomplete_patch,incorrect_test_strategy,"Inspect the graph-policy DSL semantics and require the exact expected resource set plus a focused regression slice before finalizing.",high,"Artifact:goal4-resume-29795408466-batch-b/bridgecrewio__checkov-6893.prediction.json; Artifact:goal4-resume-29795408466-batch-b/artifacts/e9c6298b6e255e9fd812d81ad35dd66d0d44549739c1a6ae19619558dbe06f40-stdout.txt; Artifact:recovery/evaluator-reports/goal4-resume-29795408466-batch-b/e9c6298b6e255e9fd812d81ad35dd66d0d44549739c1a6ae19619558dbe06f40.json"
bridgecrewio__checkov-6895,one_file,B,17,1.726740,yes,3,no,yes,no,"FAIL_TO_PASS: 1 passed / 0 failed; PASS_TO_PASS: 2 failed",yes,no,regression_introduced,incorrect_test_strategy,"After the focused check passes, run a stable cross-module PASS_TO_PASS slice and distinguish patch-caused failures from shared evaluator noise.",medium,"Artifact:goal4-authorized-29801985031-02-final-infra-retry/bridgecrewio__checkov-6895.prediction.json; Artifact:goal4-authorized-29801985031-02-final-infra-retry/artifacts/82724105cf22806c52e7060e9aa866c19c22793c2bb50c1f25a0d045afb2dd77-stdout.txt; Artifact:goal4-authorized-29801985031-02-final-infra-retry/artifacts/82724105cf22806c52e7060e9aa866c19c22793c2bb50c1f25a0d045afb2dd77-evaluator_report.txt"
conan-io__conan-17092,two_to_four_files,B,40,22.084068,yes,4,no,yes,yes,"FAIL_TO_PASS: 1 passed / 5 failed; PASS_TO_PASS: 2 failed",yes,yes,incomplete_patch,incorrect_test_strategy,"Build a C++26 support matrix from all consumers and tests, then validate flags, settings, toolchains, and minimum-version gates as one contract.",high,"Artifact:goal4-authorized-29801985031-02-batch-b-remaining/conan-io__conan-17092.prediction.json; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/f5786da9eb1db2875a7663264271533300e6ab43ac0c427b3d8df2abf2f97791-stdout.txt; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/f5786da9eb1db2875a7663264271533300e6ab43ac0c427b3d8df2abf2f97791-evaluator_report.txt"
conan-io__conan-17102,two_to_four_files,B,40,13.789632,yes,2,no,no,no,"FAIL_TO_PASS: 0 passed / 1 failed",no,yes,incomplete_patch,incorrect_test_strategy,"Reserve requests for an executable merged-build-order reproduction and require the named multi-configuration test before further edits.",high,"Artifact:goal4-authorized-29801985031-02-batch-b-remaining/conan-io__conan-17102.prediction.json; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/5a0844eecb3308f5717819b0ff4c24675b68899bf85d3fe2512e61fafa3fa916-stdout.txt; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/5a0844eecb3308f5717819b0ff4c24675b68899bf85d3fe2512e61fafa3fa916-evaluator_report.txt"
cyclotruc__gitingest-115,one_file,B,12,1.734444,yes,1,no,yes,yes,"FAIL_TO_PASS: 0 passed / 1 failed",no,no,incomplete_patch,reproduction_missing_or_incorrect,"Turn the mixed-case report into a pre-edit assertion and preserve URL parsing semantics while normalizing only the scheme comparison.",high,"Artifact:goal4-authorized-29801985031-02-batch-b-remaining/cyclotruc__gitingest-115.prediction.json; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/d098f679576f9c9e633b94fa2bf4a624da9419b7a5a052a49abfc50126aa473f-stdout.txt; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/d098f679576f9c9e633b94fa2bf4a624da9419b7a5a052a49abfc50126aa473f-evaluator_report.txt"
cyclotruc__gitingest-134,one_file,B,14,2.452788,yes,2,no,yes,yes,"FAIL_TO_PASS: 0 passed / 2 failed; PASS_TO_PASS: 1 failed",yes,no,regression_introduced,incomplete_patch,"Cover schemed and bare app-host URLs without breaking host-agnostic fallback; run the full query-parser parameter matrix.",high,"Artifact:goal4-authorized-29801985031-02-batch-b-remaining/cyclotruc__gitingest-134.prediction.json; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/839f14d90d10a3dad087e3ce27c7741068983dd000e7edf94655a78ebe892ede-stdout.txt; Artifact:goal4-authorized-29801985031-02-batch-b-remaining/artifacts/839f14d90d10a3dad087e3ce27c7741068983dd000e7edf94655a78ebe892ede-evaluator_report.txt"
